"date","district","primary_type","arrest","domestic","case_number"
"2018-01-09T14:45:00.000","001","THEFT","false","false","JB110281"
"2018-01-09T14:53:00.000","001","ROBBERY","false","false","JB110017"
"2018-01-09T14:53:00.000","001","DECEPTIVE PRACTICE","false","false","JB110130"
"2018-01-09T14:53:00.000","001","ASSAULT","true","false","JB111295"
"2018-01-09T15:00:00.000","001","CRIMINAL TRESPASS","true","false","JB110113"
"2018-01-09T15:12:00.000","001","THEFT","false","false","JB109976"
"2018-01-09T15:15:00.000","001","DECEPTIVE PRACTICE","false","false","JB112464"
"2018-01-09T16:00:00.000","001","THEFT","true","false","JB111201"
"2018-01-09T16:15:00.000","001","ROBBERY","false","false","JB110840"
"2018-01-09T16:16:00.000","001","THEFT","true","false","JB110114"
"2018-01-09T16:40:00.000","001","THEFT","false","false","JB110248"
"2018-01-09T16:53:00.000","001","THEFT","false","false","JB111561"
"2018-01-09T17:19:00.000","001","ROBBERY","false","false","JB110161"
"2018-01-09T17:20:00.000","001","THEFT","true","false","JB110223"
"2018-01-09T18:00:00.000","001","THEFT","true","false","JB110290"
"2018-01-09T19:00:00.000","001","CRIMINAL DAMAGE","false","false","JB111250"
"2018-01-09T19:30:00.000","001","THEFT","true","false","JB110401"
"2018-01-09T19:32:00.000","001","MOTOR VEHICLE THEFT","true","false","JB110356"
"2018-01-09T19:45:00.000","001","THEFT","false","false","JB110390"
"2018-01-09T19:56:00.000","001","BATTERY","true","false","JB110405"
"2018-01-09T20:00:00.000","001","THEFT","true","false","JB110392"
"2018-01-09T23:00:00.000","001","THEFT","false","false","JB117599"
"2018-01-10T02:16:00.000","001","BATTERY","false","false","JB110623"
"2018-01-10T02:35:00.000","001","CRIMINAL DAMAGE","false","false","JB110630"
"2018-01-10T05:59:00.000","001","THEFT","false","false","JB117134"
"2018-01-10T07:45:00.000","001","CRIMINAL TRESPASS","true","false","JB110737"
"2018-01-10T08:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB120929"
"2018-01-10T08:30:00.000","001","THEFT","false","false","JB112954"
"2018-01-10T08:40:00.000","001","BATTERY","true","false","JB110770"
"2018-01-10T09:00:00.000","001","DECEPTIVE PRACTICE","false","false","JB126509"
"2018-01-10T09:00:00.000","001","OTHER OFFENSE","false","true","JB343791"
"2018-01-10T09:00:00.000","001","CRIMINAL DAMAGE","false","false","JB110889"
"2018-01-10T09:20:00.000","001","BATTERY","false","false","JB110850"
"2018-01-10T09:38:00.000","001","OTHER OFFENSE","false","false","JB110858"
"2018-01-10T09:50:00.000","001","THEFT","false","false","JB112172"
"2018-01-10T09:50:00.000","001","OFFENSE INVOLVING CHILDREN","false","true","JB110899"
"2018-01-10T11:00:00.000","001","THEFT","false","false","JB112534"
"2018-01-10T11:01:00.000","001","THEFT","true","false","JB110968"
"2018-01-10T11:30:00.000","001","THEFT","true","false","JB111002"
"2018-01-10T11:35:00.000","001","ASSAULT","false","false","JB110962"
"2018-01-10T11:40:00.000","001","THEFT","false","false","JB110980"
"2018-01-10T11:47:00.000","001","THEFT","false","false","JB111032"
"2018-01-10T11:58:00.000","001","THEFT","false","false","JB111006"
